,name,subset,F1,mAP
0,fish,1,0.5845172513772107,22.191546154936077
1,fish,2,0.5385444743935309,16.167669723072322
2,fish,3,0.5741011400175386,22.706410576065537
3,fish,4,0.6203807390817468,26.422605668194592
4,fish,5,0.5689603812928209,23.752938977559097
5,vitens,1,0.5300297508367422,19.6109504182823
6,vitens,2,0.5685374149659863,24.007403183641145
7,vitens,3,0.5800347380930614,23.444144733657595
8,vitens,4,0.5901061708934117,24.397277309108176
9,vitens,5,0.6132268086995116,26.800868484642702
10,pothole,1,0.2786885245901638,7.154464460909367
11,pothole,2,0.3520599250936329,9.169465808663517
12,pothole,3,0.4279835390946501,15.57678753568325
13,pothole,4,0.3629893238434163,12.15258770622313
14,pothole,5,0.3783783783783783,14.759411346167326
